--- scanner 0 ---
136,-154,-15
688,487,557
806,-481,565
-566,605,547
784,-477,410
-19,-78,146
772,-755,-623
-551,280,-333
-672,-646,864
667,-777,-590
-636,-891,-428
796,-763,-662
-552,293,-594
915,-495,438
711,349,666
750,485,598
591,660,-656
-583,-856,-458
663,780,-554
-752,-510,814
710,669,-530
-566,-502,862
-478,-962,-447
-669,462,554
-506,462,559
-536,307,-473

--- scanner 1 ---
91,-103,-89
517,-591,-885
639,-648,-780
364,784,-479
716,367,436
-608,-368,-512
-679,-408,-534
-590,-679,309
-534,-357,-501
-56,31,-26
724,-601,554
-317,775,724
483,768,-552
-417,706,-483
843,381,327
871,363,458
-517,-699,298
683,-599,492
-448,857,-442
498,-653,-723
469,842,-355
-507,-550,364
-318,625,622
-455,776,616
-396,803,-519
615,-463,531

--- scanner 2 ---
-688,-642,-289
-793,650,-582
510,-468,642
550,660,458
498,622,-476
-832,559,-499
817,-688,-656
572,-427,640
-885,-643,-343
-807,-565,-322
-705,-653,588
-379,392,559
-3,90,76
-90,-24,-75
632,559,-410
779,-820,-642
669,786,467
791,-738,-681
-748,529,-597
-762,-512,593
549,-536,778
597,684,347
-324,368,619
-325,416,603
-867,-634,650
588,613,-350

--- scanner 3 ---
366,-729,638
-700,-867,-595
-876,306,-835
-602,-611,646
-600,-673,605
775,-549,-533
770,678,-447
-680,-856,-668
-790,324,-727
-720,643,656
-577,746,649
624,-543,-396
-854,306,-612
593,638,-457
620,570,-459
387,643,341
-464,-634,537
14,74,-16
362,-707,793
395,829,389
-577,583,644
774,-441,-395
-551,-801,-585
-105,-88,-95
380,-838,765
531,749,339

--- scanner 4 ---
-842,-523,-895
-698,757,753
-112,76,-76
328,-418,-843
511,896,-641
-785,-806,716
406,797,653
-746,-803,502
-440,406,-530
-5,-37,58
439,807,-628
-445,407,-376
348,-473,-900
690,-376,761
-732,832,652
528,-333,710
-810,-630,-801
603,-480,721
-687,-747,629
-842,-508,-716
-616,383,-440
608,817,-648
426,-436,-877
-682,733,618
441,805,712
319,851,583

--- scanner 5 ---
94,-169,52
-719,-783,-471
737,-917,765
386,686,-579
737,242,593
-13,-26,122
666,-957,787
-605,443,-525
683,301,736
-528,238,474
592,-968,798
674,234,677
-735,-741,-549
-547,559,-594
-560,633,-471
-440,-672,576
-581,-677,519
-782,-746,-320
-451,205,593
610,-538,-452
-459,-734,414
387,579,-636
681,-550,-465
354,541,-523
773,-604,-404
-450,259,396

--- scanner 6 ---
-436,401,-806
-368,-695,541
827,844,422
762,815,-527
846,781,403
754,-559,720
780,700,-511
874,697,-562
-471,-702,684
66,80,66
974,-730,-366
-808,566,818
-476,411,-629
917,-863,-386
-531,-690,541
-365,-385,-567
-471,-387,-423
893,-542,816
855,-838,-377
-808,789,840
-544,413,-656
-285,-435,-431
-790,681,754
124,-46,-105
890,-520,752
872,630,415

--- scanner 7 ---
536,-924,-917
244,310,-465
270,264,439
-528,-606,-462
-591,-503,519
597,-646,380
244,332,-688
-829,399,761
-929,486,-705
407,-641,341
-62,-65,66
592,-598,311
322,274,454
-497,-574,466
-853,434,725
-863,635,-715
-788,529,774
307,412,388
-121,41,-73
-549,-397,429
429,-872,-894
-918,506,-632
-686,-518,-409
-681,-526,-514
376,-919,-793
262,396,-573

--- scanner 8 ---
-601,742,934
480,702,556
-465,653,-660
401,-796,923
-456,-476,-720
385,-694,836
375,-542,-713
-63,-79,172
387,-398,-602
-645,825,934
574,840,613
798,592,-364
-835,-733,982
-505,547,-724
-521,469,-634
428,-545,-508
755,695,-316
520,-731,835
-658,601,915
-867,-551,994
-591,-470,-586
370,796,576
675,564,-238
-799,-580,921
-415,-532,-566

--- scanner 9 ---
550,837,-748
741,-622,-518
747,593,553
652,-635,-446
707,577,536
-663,-547,835
-710,595,-336
-95,35,63
251,-733,433
426,821,-667
-678,-368,835
-785,-462,803
742,445,449
-601,730,859
-538,776,925
-640,720,938
-573,-420,-335
-628,-363,-355
252,-887,438
-591,-386,-433
-704,489,-274
-795,469,-313
662,-615,-615
372,736,-738
228,-823,609

--- scanner 10 ---
813,-659,449
710,-585,402
799,857,796
-812,-750,715
670,557,-642
677,867,648
383,-466,-543
-585,-367,-329
-504,808,506
-815,-584,623
-616,882,433
-793,850,-547
685,516,-821
-768,723,-631
-759,-672,547
420,-328,-437
-787,758,-594
761,-551,512
-546,868,629
687,687,-705
460,-306,-529
-625,-305,-326
-71,196,40
879,878,617
82,35,45
-432,-271,-351

--- scanner 11 ---
-368,-931,-433
-428,640,-474
472,-580,416
-522,-867,578
648,381,509
-355,617,-677
-518,-930,-535
498,-764,472
613,422,467
-52,14,12
408,-686,456
-367,-793,-541
-549,-869,646
-807,775,594
-675,754,526
-372,-879,686
-754,785,586
894,-669,-724
816,-538,-804
571,383,-637
768,-641,-847
664,504,405
572,384,-635
-387,674,-597
559,349,-586

--- scanner 12 ---
-888,-748,361
665,-498,-468
528,-804,880
-612,-522,-530
-433,-522,-545
-650,565,788
655,-419,-507
743,316,736
-952,-919,385
-730,402,-477
-762,616,902
555,354,808
-667,560,919
415,465,-476
-527,-554,-652
-639,492,-438
380,-908,875
711,-432,-405
505,344,711
-668,315,-445
442,577,-492
-186,-19,128
3,-183,132
-10,-16,-47
512,-821,840
-798,-924,384
515,461,-442

--- scanner 13 ---
488,613,-323
-773,553,843
788,-493,-798
4,185,131
541,616,-528
138,76,55
-478,541,-450
599,-232,614
911,-521,-672
500,469,-434
894,929,858
-302,603,-470
-587,505,851
785,802,872
-408,-398,-402
-622,-283,468
-352,-582,-376
868,-624,-720
605,-369,463
-582,-293,645
-343,547,-316
-693,503,707
-392,-476,-312
763,957,876
-514,-295,618
497,-231,464

--- scanner 14 ---
539,-347,-702
-650,366,-821
603,-723,560
510,701,622
-719,-545,473
660,-361,-686
-689,445,-831
-681,-518,-581
675,802,-733
27,73,-166
686,908,-628
-627,469,446
705,837,-786
-505,501,361
-665,-630,-608
579,-834,513
-50,-23,17
-680,-455,564
543,723,517
477,-714,441
-752,379,-877
800,-334,-701
-612,469,267
471,709,646
-712,-368,502
-715,-514,-681

--- scanner 15 ---
-759,266,-596
-854,313,521
873,548,-400
707,456,-397
-685,339,-708
-469,-492,514
-772,301,482
525,460,753
-722,275,507
-600,-798,-444
-308,-513,446
325,-814,782
-635,-761,-425
-727,-714,-419
588,594,687
490,-496,-627
464,-752,793
-28,-71,0
-448,-468,486
795,380,-453
428,-493,-587
394,-518,-780
579,504,813
329,-724,694
-745,462,-666

--- scanner 16 ---
481,589,-575
621,-656,-751
-728,-549,-703
-768,663,427
547,-394,672
-799,695,-501
-615,743,479
-801,-441,-615
-705,766,-554
-891,-469,-691
553,895,571
637,887,508
494,828,562
-747,872,-464
497,553,-464
555,-400,756
-826,-520,567
-610,751,374
504,-800,-763
561,-813,-754
574,603,-585
483,-520,756
-848,-435,666
39,21,-55
-75,121,64
-728,-404,634

--- scanner 17 ---
289,-392,-507
-637,408,582
-535,433,-394
365,695,870
-815,-435,-516
310,-524,-439
316,600,805
-528,469,670
279,-445,-499
-597,448,-458
636,855,-305
-174,-46,163
447,-844,764
-798,-486,-713
-127,65,-6
-445,-461,561
329,730,846
-497,-440,589
390,-812,684
702,717,-290
-682,301,-392
-613,-441,501
424,-771,561
-707,-399,-602
651,865,-253
-619,331,688

--- scanner 18 ---
736,-571,-745
-415,-336,681
356,668,683
-383,514,-566
453,584,-631
477,-721,782
-701,-704,-412
-812,-716,-556
442,737,732
514,-517,826
-607,-663,-559
-30,-37,51
457,-611,688
737,-706,-708
-463,-293,578
-818,677,484
824,-690,-810
